question,chunking,retrieval_variant,answer,n_claims,supported_claims,faithfulness_score,avg_relevancy_score,retrieval_time_sec,inference_time_sec,overall_time_sec
What is Ballon dOr known for in football?,fixed,semantic_only,The Ballon d'Or is an annual association football award presented by French magazine France Football since 1956 to honour the player deemed to have performed the best over the previous season.,4,4,1.0,0.7212935090065002,0.3979765120000138,6.211635897000178,6.609621544999982
What is Ballon dOr known for in football?,fixed,hybrid_plus_rerank,The Ballon d'Or is known for honouring the player deemed to have performed the best over the previous season in football.,3,3,1.0,0.6181290149688721,0.8799912270001187,5.2793788059998406,6.159380414999987
What is Ballon dOr known for in football?,recursive,semantic_only,The Ballon d'Or is an annual association football award presented by French magazine France Football since 1956 to honour the player deemed to have performed the best over the previous season.,4,4,1.0,0.7212935090065002,0.11212133100002575,7.19100856,7.303138850000096
What is Ballon dOr known for in football?,recursive,hybrid_plus_rerank,The Ballon d'Or is known for honouring the player deemed to have performed the best over the previous season in football.,3,3,1.0,0.6181290149688721,0.839428142000088,5.173100233000014,6.01253875999987
What is Ballon dOr known for in football?,semantic,semantic_only,The Ballon d'Or is widely regarded as football's most prestigious and valuable individual award.,2,1,0.5,0.670477549235026,0.07905651900000521,6.277929626000059,6.356993925000097
What is Ballon dOr known for in football?,semantic,hybrid_plus_rerank,The Ballon d'Or is an annual association football award presented by French magazine France Football to honour the player deemed to have performed the best over the previous season.,3,3,1.0,0.7468075553576151,0.8013287189999119,5.282102715000065,6.0834428759999355
Give a brief overview of Atletico Madrid in football.,fixed,semantic_only,Atlético Madrid is a Spanish professional football club based in Madrid that plays in La Liga and has a rich history of domestic and European titles.,5,5,1.0,0.7079397439956665,0.054036344999985886,7.224766784999929,7.278811224000037
Give a brief overview of Atletico Madrid in football.,fixed,hybrid_plus_rerank,"Atlético Madrid is one of the most successful Spanish clubs, having won numerous domestic and European titles, including 11 La Liga titles and the UEFA Europa League in 2010, 2012, and 2018.",4,4,1.0,0.7526801625887553,0.886614057000088,6.319272180000098,7.205894956999828
Give a brief overview of Atletico Madrid in football.,recursive,semantic_only,Atlético Madrid is a Spanish professional football club based in Madrid that plays in La Liga and has a rich history of domestic and European titles.,5,5,1.0,0.7079397439956665,0.05296563199999582,7.34244268700013,7.3954173219999575
Give a brief overview of Atletico Madrid in football.,recursive,hybrid_plus_rerank,"Atlético Madrid is one of the most successful Spanish clubs, having won numerous domestic and European titles, including 11 La Liga titles and the UEFA Europa League in 2010, 2012, and 2018.",4,4,1.0,0.7526801625887553,0.7718531489999805,5.486886743000014,6.258749966999858
Give a brief overview of Atletico Madrid in football.,semantic,semantic_only,Atlético Madrid is a Spanish professional football club based in Madrid that plays in La Liga and has a long-standing rivalry with their city neighbours Real Madrid.,4,4,1.0,0.7099898258845011,0.05142360500008181,6.229068024999833,6.280499917999805
Give a brief overview of Atletico Madrid in football.,semantic,hybrid_plus_rerank,"Atlético Madrid is one of the most successful Spanish clubs, having won numerous titles in Europe and domestic trophies, including 11 La Liga titles and 10 Copa del Rey titles.",2,1,0.5,0.7477104663848877,0.7698023589998684,5.3140900979999515,6.0839023609999
How many goals did Ronaldo (the Brazilian) score across all World Cup tournaments?,fixed,semantic_only,Ronaldo finished with fifteen goals in nineteen World Cup matches.,2,1,0.5,0.8876036802927653,0.051863878999938606,5.1711391709998225,5.223010994999868
How many goals did Ronaldo (the Brazilian) score across all World Cup tournaments?,fixed,hybrid_plus_rerank,Ronaldo finished with fifteen goals in nineteen World Cup matches.,2,1,0.5,0.8876036802927653,0.8708003369999915,6.1699419679998755,7.040752008000027
How many goals did Ronaldo (the Brazilian) score across all World Cup tournaments?,recursive,semantic_only,Ronaldo finished with fifteen goals in nineteen World Cup matches.,2,1,0.5,0.8876036802927653,0.048278446000040276,4.1966087359999165,4.244895025999995
How many goals did Ronaldo (the Brazilian) score across all World Cup tournaments?,recursive,hybrid_plus_rerank,Ronaldo finished with fifteen goals in nineteen World Cup matches.,2,1,0.5,0.8876036802927653,0.9073347969999759,5.168758687000036,6.076102926999965
How many goals did Ronaldo (the Brazilian) score across all World Cup tournaments?,semantic,semantic_only,Ronaldo finished with fifteen goals in nineteen World Cup matches.,2,1,0.5,0.8876036802927653,0.04690652400017825,5.218540746999906,5.2654558419999375
How many goals did Ronaldo (the Brazilian) score across all World Cup tournaments?,semantic,hybrid_plus_rerank,Ronaldo finished with fifteen goals in nineteen World Cup matches.,2,1,0.5,0.8876036802927653,0.8753014229998826,5.212681856000017,6.087993453000081
England national football team represents which nation?,fixed,semantic_only,England national football team represents England.,2,2,1.0,0.9427937070528666,0.04986001300017051,6.162596525000026,6.212465621000092
England national football team represents which nation?,fixed,hybrid_plus_rerank,England national football team represents England.,2,2,1.0,0.9427937070528666,0.7571321609998449,5.266517004999969,6.023658846999979
England national football team represents which nation?,recursive,semantic_only,England national football team represents England.,2,2,1.0,0.9427937070528666,0.08327402999998412,6.222942289000002,6.306235730000026
England national football team represents which nation?,recursive,hybrid_plus_rerank,England national football team represents England.,2,2,1.0,0.9427937070528666,0.7577203730002111,4.139403124999944,4.897134336999898
England national football team represents which nation?,semantic,semantic_only,England national football team represents England.,2,2,1.0,0.9427937070528666,0.049325482999847736,4.128689436000059,4.178022954000198
England national football team represents which nation?,semantic,hybrid_plus_rerank,England national football team represents England.,2,2,1.0,0.9427937070528666,0.7674482170000374,4.1542967760001375,4.921754512999996
What is Chelsea FC known for in club football?,fixed,semantic_only,"Chelsea FC is known for being one of the most successful clubs in English football history, having won numerous domestic and international trophies.",3,3,1.0,0.8413855830828348,0.04869711700030166,6.335753536000084,6.384458571999858
What is Chelsea FC known for in club football?,fixed,hybrid_plus_rerank,"Chelsea FC is known for being one of the most successful clubs in English football history, having won numerous domestic and international titles.",3,3,1.0,0.8327697912851969,0.774610181999833,5.182736958000078,5.957356713000081
What is Chelsea FC known for in club football?,recursive,semantic_only,"Chelsea FC is known for being one of the most successful clubs in English football history, having won numerous domestic and international trophies.",3,3,1.0,0.8413855830828348,0.05128244000025006,7.25534952299995,7.3066408700001375
What is Chelsea FC known for in club football?,recursive,hybrid_plus_rerank,"Chelsea FC is known for being one of the most successful clubs in English football history, having won numerous domestic and international titles.",3,3,1.0,0.8327697912851969,0.809108775000368,5.244137473999672,6.053256833999967
What is Chelsea FC known for in club football?,semantic,semantic_only,"Chelsea FC is known for being one of the most successful clubs in English football history, having won numerous domestic and international titles, including six top-flight league titles, eight FA Cups, and two UEFA Champions Leagues.",5,5,1.0,0.8066339492797852,0.05075717799991253,7.230462408000221,7.281228541000019
What is Chelsea FC known for in club football?,semantic,hybrid_plus_rerank,"Chelsea FC is known for being associated with football hooliganism, particularly during the 1970s and 1980s, with notorious groups such as the Chelsea Shed Boys and the Chelsea Headhunters.",3,2,0.6666666666666666,0.6625304818153381,0.8065756330001932,6.409559183000056,7.216145243000028
How many UEFA Champions League titles has Real Madrid won?,fixed,semantic_only,Real Madrid has won a record 15 UEFA Champions League titles.,2,2,1.0,0.8902600606282552,0.08297496400018645,7.210880051000004,7.293862418000117
How many UEFA Champions League titles has Real Madrid won?,fixed,hybrid_plus_rerank,Real Madrid has won a record 15 UEFA Champions League titles.,2,2,1.0,0.8902600606282552,0.7761057100001381,6.241579305999949,7.017696357000204
How many UEFA Champions League titles has Real Madrid won?,recursive,semantic_only,Real Madrid has won 15 UEFA Champions League titles.,1,1,1.0,0.9745404918988546,0.05168091800032926,6.331609455000034,6.383300138999857
How many UEFA Champions League titles has Real Madrid won?,recursive,hybrid_plus_rerank,Real Madrid has won a record 15 European Cup/UEFA Champions League titles.,1,1,1.0,0.8429532845815023,0.7545085289998497,4.133896203999939,4.888413715000297
How many UEFA Champions League titles has Real Madrid won?,semantic,semantic_only,Real Madrid has won a record 15 European Cup/UEFA Champions League titles.,1,1,1.0,0.8429532845815023,0.04565607199992883,5.37779002499974,5.423454350000156
How many UEFA Champions League titles has Real Madrid won?,semantic,hybrid_plus_rerank,Real Madrid has won 15 UEFA Champions League titles.,1,1,1.0,0.9745404918988546,0.8428696550004133,5.162939012999686,6.005819669000175
What type of tournament is FA Cup?,fixed,semantic_only,The FA Cup is an annual knockout football competition.,3,3,1.0,0.8950657645861307,0.05668228700005784,5.158920054000191,5.215609820000282
What type of tournament is FA Cup?,fixed,hybrid_plus_rerank,The FA Cup is a knockout tournament.,1,1,1.0,0.8923907081286112,0.766919802999837,4.501712199999929,5.268644059000053
What type of tournament is FA Cup?,recursive,semantic_only,The FA Cup is an annual knockout football competition.,3,3,1.0,0.8950657645861307,0.05005495500017787,5.173931509999875,5.223994972000128
What type of tournament is FA Cup?,recursive,hybrid_plus_rerank,The FA Cup is a knockout tournament.,1,1,1.0,0.8923907081286112,0.7663679549996232,4.133488110000144,4.899866130999726
What type of tournament is FA Cup?,semantic,semantic_only,The FA Cup is a knockout tournament.,1,1,1.0,0.8923907081286112,0.052421321000110765,5.160816207000153,5.213246460999926
What type of tournament is FA Cup?,semantic,hybrid_plus_rerank,The FA Cup is an annual knockout football competition.,3,3,1.0,0.8950657645861307,0.765105611999843,6.169365689000188,6.934481773000243
Which club has more Champions League titles — AC Milan or Liverpool?,fixed,semantic_only,AC Milan has won seven Champions League titles.,1,1,1.0,0.8374469876289368,0.05016114399995786,6.2967867639999895,6.346973051000077
Which club has more Champions League titles — AC Milan or Liverpool?,fixed,hybrid_plus_rerank,AC Milan has more Champions League titles than Liverpool.,1,0,0.0,0.9534133076667786,0.8008696580000105,4.113954444999763,4.914833326999997
Which club has more Champions League titles — AC Milan or Liverpool?,recursive,semantic_only,AC Milan has won seven Champions League titles.,1,1,1.0,0.8374469876289368,0.04697026399981041,5.1844239500001095,5.23140252300027
Which club has more Champions League titles — AC Milan or Liverpool?,recursive,hybrid_plus_rerank,AC Milan has more Champions League titles than Liverpool.,1,0,0.0,0.9534133076667786,0.7616555730000982,4.150903104999998,4.912568959000055
Which club has more Champions League titles — AC Milan or Liverpool?,semantic,semantic_only,AC Milan has won seven European Cup/Champions League titles.,1,1,1.0,0.7941528161366781,0.050144056000135606,5.182143234999785,5.232295809000334
Which club has more Champions League titles — AC Milan or Liverpool?,semantic,hybrid_plus_rerank,"AC Milan has seven European Cup/Champions League titles, while Liverpool has six.",2,0,0.0,0.913837730884552,0.8440401739999288,5.19744358600019,6.041493248999814
